symbol,date,close,entryprice,type,eo,state,decision_number
BO2,2021-12-16,54.78,,exitStopS2,exitS2,,1.9
BO2,2021-12-23,55.47,,exitL3,exitL3,,2.4
BP1,2017-01-11,1.276,,Short2,enterS2,Short2,1.5
BP1,2017-01-17,1.2962,,exitStopS2,exitS2,,1.9
BP1,2017-03-03,1.2841,,Short2,enterS2,Short2,1.5
BP1,2017-03-16,1.2905,,exitStopS2,exitS2,,1.9
BP1,2017-06-13,1.3265,,Short2,enterS2,Short2,1.5
BP1,2017-06-16,1.3289,,exitStopS2,exitS2,,1.9
BP1,2017-06-21,1.3177,,Short2,enterS2,Short2,1.5
BP1,2017-06-23,1.322,,exitStopS2,exitS2,,1.9
BP1,2017-08-16,1.338,,Short2,enterS2,Short2,1.5
BP1,2017-08-28,1.3416,,exitStopS2,exitS2,,1.9
BP1,2017-10-09,1.3608,,Short2,enterS2,Short2,1.5
BP1,2017-10-10,1.3668,,exitStopS2,exitS2,,1.9
BP1,2017-10-20,1.3654,,Short2,enterS2,Short2,1.5
BP1,2017-10-25,1.3722,,exitStopS2,exitS2,,1.9
BP1,2017-11-03,1.3532,,Short2,enterS2,Short2,1.5
BP1,2017-11-06,1.3624,,exitStopS2,exitS2,,1.9
BP1,2017-11-14,1.3613,,Short2,enterS2,Short2,1.5
BP1,2017-11-16,1.3643,,exitStopS2,exitS2,,1.9
BP1,2018-02-02,1.4505,,Short3,enterS3,Short3,2.3
BP1,2018-03-01,1.4157,,Short2,enterS2,Short2,1.5
BP1,2018-03-02,1.4186,,exitStopS2,exitS2,,1.9
BP1,2018-04-16,1.4694,,exitStopS3,exitS3,,2.7
BP1,2018-04-24,1.4333,,Short2,enterS2,Short2,1.5
BP1,2018-06-19,1.3485,,exitStopS2,exitS2,,1.9
BP1,2018-06-21,1.3552,,Short2,enterS2,Short2,1.5
BP1,2018-06-25,1.3591,,exitStopS2,exitS2,,1.9
BP1,2018-06-29,1.3509,,Short2,enterS2,Short2,1.5
BP1,2018-07-05,1.3521,,exitStopS2,exitS2,,1.9
BP1,2018-07-12,1.3501,,Short2,enterS2,Short2,1.5
BP1,2018-08-21,1.3172,,exitStopS2,exitS2,,1.9
BP1,2018-08-29,1.3296,,Short2,enterS2,Short2,1.5
BP1,2018-09-12,1.331,,exitStopS2,exitS2,,1.9
BP1,2018-10-01,1.3296,,Short2,enterS2,Short2,1.5
BP1,2018-10-09,1.3398,,exitStopS2,exitS2,,1.9
BP1,2018-10-19,1.3309,,Short2,enterS2,Short2,1.5
BP1,2018-11-07,1.3366,,exitStopS2,exitS2,,1.9
BP1,2018-11-13,1.3198,,Short2,enterS2,Short2,1.5
BP1,2018-12-12,1.2842,,exitStopS2,exitS2,,1.9
BP1,2018-12-13,1.2872,,Short2,enterS2,Short2,1.5
BP1,2018-12-24,1.292,,exitStopS2,exitS2,,1.9
BP1,2018-12-28,1.2889,,Short2,enterS2,Short2,1.5
BP1,2018-12-31,1.2955,,exitStopS2,exitS2,,1.9
BP1,2019-01-03,1.2822,,Short2,enterS2,Short2,1.5
BP1,2019-01-04,1.2906,,exitStopS2,exitS2,,1.9
BP1,2019-02-12,1.3052,,Short2,enterS2,Short2,1.5
BP1,2019-02-19,1.322,,exitStopS2,exitS2,,1.9
BP1,2019-04-01,1.323,,Short2,enterS2,Short2,1.5
BP1,2019-04-03,1.3285,,exitStopS2,exitS2,,1.9
BP1,2019-04-08,1.3186,,Short2,enterS2,Short2,1.5
