symbol,date,close,entryprice,type,eo,state,decision_number
BR5,2020-09-01,0.17508,,exitStopS2,exitS2,,1.9
BR5,2020-09-24,0.17053,,Short2,enterS2,Short2,1.5
BR5,2020-09-24,0.17053,,Long3,enterL3,Long3,2.2
BR5,2020-09-25,0.16938,,exitL3,exitL3,,2.1
BR5,2020-11-05,0.16943,,exitStopS2,exitS2,,1.9
BR5,2020-11-09,0.17433,,Short3,enterS3,Short3,2.3
BR5,2020-11-10,0.17533,,exitStopS3,exitS3,,2.7
BR5,2020-11-20,0.17528,,Short3,enterS3,Short3,2.3
BR5,2020-12-01,0.18199,,exitStopS3,exitS3,,2.7
BR5,2020-12-09,0.18319,,Short3,enterS3,Short3,2.3
BR5,2020-12-10,0.18889,,exitStopS3,exitS3,,2.7
BR5,2020-12-14,0.18599,,Short3,enterS3,Short3,2.3
BR5,2020-12-15,0.18744,,exitStopS3,exitS3,,2.7
BR5,2021-01-12,0.17652,,Short2,enterS2,Short2,1.5
BR5,2021-01-13,0.17852,,exitStopS2,exitS2,,1.9
BR5,2021-01-26,0.17687,,Short2,enterS2,Short2,1.5
BR5,2021-03-04,0.1681,,exitStopS2,exitS2,,1.9
BR5,2021-03-09,0.1645,,Short2,enterS2,Short2,1.5
BR5,2021-03-10,0.1679,,exitStopS2,exitS2,,1.9
BR5,2021-03-11,0.1721,,Short2,enterS2,Short2,1.5
BR5,2021-03-19,0.1744,,exitStopS2,exitS2,,1.9
BR5,2021-03-30,0.1658,,Short2,enterS2,Short2,1.5
BR5,2021-03-31,0.16742,,exitStopS2,exitS2,,1.9
BR5,2021-04-05,0.16652,,Short2,enterS2,Short2,1.5
BR5,2021-04-06,0.16877,,exitStopS2,exitS2,,1.9
BR5,2021-04-13,0.16597,,Short2,enterS2,Short2,1.5
BR5,2021-04-15,0.16842,,exitStopS2,exitS2,,1.9
BR5,2021-05-19,0.17968,,Short3,enterS3,Short3,2.3
